query,truth
Is Zipcode 53073 adjacent to and west of Zipcode 53085?,yes
Is Perry County Indiana adjacent to and northeast of Zipcode 42351?,yes
Is Zipcode 44314 adjacent to and south of Zipcode 44307?,no
Is Bastrop County Texas east of Zipcode 78722?,no
Is Zipcode 72858 adjacent to and southwest of Zipcode 72802?,no
Is Nevada County California northeast of Zipcode 95903?,no
Is Zipcode 78520 adjacent to and northwest of Zipcode 78521?,no
Is Zipcode 46327 adjacent to and south of Zipcode 46320?,no
Is Zipcode 16749 adjacent to and south of Zipcode 16745?,yes
Is Zipcode 39665 east of Zipcode 39083?,no
Is Zipcode 64424 adjacent to and southeast of Zipcode 64467?,yes
Is Zipcode 16046 adjacent to and west of Zipcode 16002?,no
Is Zipcode 85396 south of Zipcode 85375?,no
Is Meade County Kentucky adjacent to and southeast of Zipcode 47142?,no
Is Grainger County Tennessee north of Zipcode 37713?,no
Is Montgomery County Pennsylvania west of Zipcode 08608?,yes
Is Wayne County Iowa adjacent to and east of Zipcode 64661?,no
Is Zipcode 41254 adjacent to and southeast of Zipcode 41232?,no
Is Zipcode 24333 east of Zipcode 24326?,yes
Is Zipcode 44333 northeast of Zipcode 44281?,yes
Is Sampson County North Carolina southeast of Zipcode 28339?,yes
Is Zipcode 94301 northeast of Zipcode 94027?,no
Is Zipcode 13757 adjacent to and northeast of Zipcode 13846?,no
Is Zipcode 92821 adjacent to and southeast of Zipcode 91748?,no
Is Garfield County Washington adjacent to and northeast of Zipcode 99328?,yes
Is Zipcode 34224 adjacent to and northwest of Zipcode 33947?,yes
Is Zipcode 38128 adjacent to and west of Zipcode 38135?,yes
Is Zipcode 06482 adjacent to and southeast of Zipcode 06470?,no
Is Zipcode 15522 south of Zipcode 16695?,no
Is Zipcode 14608 southeast of Zipcode 14615?,yes
Is Zipcode 90250 adjacent to and west of Zipcode 90047?,no
Is Zipcode 57572 northwest of Zipcode 69201?,yes
Is The State of Nevada adjacent to and east of Zipcode 96104?,no
Is Zipcode 67468 southwest of Zipcode 66962?,yes
Is Zipcode 35443 south of Zipcode 35469?,no
Is Zipcode 12168 east of Zipcode 12195?,no
Is Zipcode 51345 adjacent to and north of Zipcode 51338?,no
Is Zipcode 59446 adjacent to and southeast of Zipcode 59442?,yes
Is Zipcode 28513 adjacent to and southeast of Zipcode 27828?,yes
Is Zipcode 19363 adjacent to and east of Zipcode 17566?,no
Is Cowlitz County Washington east of Zipcode 98643?,yes
Is Zipcode 37083 south of Zipcode 42167?,no
Is Zipcode 77664 adjacent to and northwest of Zipcode 77616?,no
Is Lyon County Kansas adjacent to and southwest of Zipcode 66856?,no
Is San Mateo County California southwest of Zipcode 94566?,yes
Is Zipcode 52535 adjacent to and southwest of Zipcode 52556?,no
Is Zipcode 92595 adjacent to and southeast of Zipcode 92532?,yes
Is Zipcode 95464 north of Zipcode 95453?,no
Is Chesterfield County South Carolina northeast of Zipcode 29130?,yes
Is Zipcode 95060 adjacent to and west of Zipcode 95065?,yes
Is Hunterdon County New Jersey southwest of Zipcode 08807?,no
Is Dakota County Nebraska adjacent to and south of Zipcode 57038?,yes
Is Monroe County Arkansas adjacent to and north of Zipcode 72140?,yes
Is Zipcode 38828 adjacent to and northeast of Zipcode 38863?,yes
Is Zipcode 28806 northwest of Zipcode 28805?,no
Is Kusilvak Census Area Alaska southwest of Zipcode 99590?,no
Is Merrimack County New Hampshire east of The State of New York?,yes
Is Clinton County Pennsylvania southwest of Zipcode 17776?,yes
Is Zipcode 17878 northwest of Zipcode 18603?,yes
Is Dubois County Indiana east of Zipcode 47637?,no
Is Zipcode 02659 adjacent to and northeast of Zipcode 02646?,no
Is Grant County South Dakota adjacent to and west of Lac qui Parle County Minnesota?,yes
Is Zipcode 78055 adjacent to and north of Zipcode 78003?,no
Is Zipcode 63755 adjacent to and west of Zipcode 62998?,yes
Is Gila County Arizona east of Zipcode 85120?,no
Is The State of Missouri adjacent to and southeast of Zipcode 66767?,no
Is Grainger County Tennessee adjacent to and southwest of Zipcode 37814?,no
Is Zipcode 72453 adjacent to and northwest of Zipcode 72450?,yes
Is Zipcode 97209 adjacent to and southeast of Zipcode 97210?,no
Is Zipcode 54840 adjacent to and west of Zipcode 54893?,yes
Is Jefferson County Ohio northwest of Zipcode 15323?,yes
Is Lowndes County Mississippi southeast of Zipcode 39756?,yes
Is Windsor County Vermont adjacent to and northwest of Zipcode 03603?,yes
Is Crawford County Michigan adjacent to and southwest of Zipcode 48636?,no
Is Zipcode 39213 adjacent to and northeast of Zipcode 39209?,no
Is Zipcode 53218 adjacent to and west of Zipcode 53209?,yes
Is Zipcode 55428 adjacent to and northeast of Zipcode 55441?,yes
Is Big Stone County Minnesota southeast of Zipcode 57257?,no
Is Zipcode 81435 adjacent to and east of Zipcode 81430?,no
Is Zipcode 45036 adjacent to and east of Zipcode 45044?,yes
Is Zipcode 30824 adjacent to and northwest of Zipcode 30823?,no
Is Zipcode 99169 adjacent to and north of Zipcode 99105?,no
Is Zipcode 05902 adjacent to and southwest of Zipcode 03592?,yes
Is Saint Francois County Missouri east of Zipcode 63030?,no
Is Jackson County Georgia northeast of Walton County Georgia?,yes
Is Zipcode 79316 adjacent to and east of Zipcode 79359?,no
Is Zipcode 59485 adjacent to and southeast of Zipcode 59483?,no
Is Saint Martin Parish Louisiana north of Zipcode 70528?,no
Is Zipcode 33810 adjacent to and south of Zipcode 33849?,no
Is Zipcode 12424 adjacent to and southeast of Zipcode 12439?,yes
Is The State of Massachusetts east of Zipcode 06001?,yes
Is Zipcode 20166 adjacent to and west of Zipcode 20165?,no
Is Zipcode 15557 adjacent to and west of Zipcode 15552?,no
Is Ward County Texas northwest of Zipcode 79730?,no
Is Zipcode 30506 adjacent to and northwest of Zipcode 30504?,no
Is Sullivan County New York northwest of Zipcode 10919?,yes
